bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,price
4,2.25,1990,7712,1,3,1973,627000
4,3,3690,9892,2,3,1998,865000
2,1,2540,7000,1,5,1942,580000
3,2.25,1800,36704,1,4,1978,410000
4,3,2340,7048,1,4,1979,485000
2,1.75,2110,9519,1,2,1948,400000
2,1,1140,5400,1,5,1908,549000
3,1.75,1480,2185,2.5,3,2005,620000
2,3,1410,1240,2,3,2006,405000
2,1,1200,8063,1,4,1958,232000
5,2.5,3180,13806,2,4,1990,800866
3,1.5,2160,9000,1,4,1949,650000
6,1.75,2920,5000,2.5,4,1908,823000
3,2,2350,5700,1.5,4,1939,770000
3,1.75,1560,5520,1,4,1944,524000
5,2.75,2740,8426,1,4,1960,541125
3,2.5,1680,2000,3,3,1909,670000
5,2.5,3090,12750,1,3,1968,384900
3,2.25,1410,1332,3,3,2005,406100
5,3.5,4010,8510,2,5,1971,1395000
4,2.5,3180,21904,2,3,2000,736500
3,2.25,2010,6000,1,3,1975,570000
3,1.75,1330,7500,1,3,1961,787000
4,2.5,2370,6500,2,3,1998,328000
5,2,1840,9240,1,4,1942,435000
4,2.5,2910,6479,2,3,2006,499000
4,1,2070,7519,1,3,1963,501000
4,2.5,4340,141570,2.5,3,1992,1090000
2,1,840,5510,1,3,1955,400000
4,1.5,1240,9600,1,3,1971,220000
4,1,1390,4240,1,3,1924,657100
4,2.75,2310,5000,2,3,2006,309950
3,2,1050,10072,1,3,1986,300000
5,1.75,2550,71874,1,5,1960,525888
4,1.75,2010,3600,1.5,3,1902,740000
5,1,1120,9022,1.5,4,1962,340000
3,2.5,2230,4000,2,3,1954,398750
2,1,810,7158,1,5,1944,206000
5,2.75,3190,16920,1,3,1976,1030000
3,1.75,1670,39639,1,4,1976,600000
4,1.75,1970,9389,1,5,1960,379950
3,1,1450,6000,1,4,1953,287000
7,8,13540,307752,3,3,1999,2280000
3,2.5,1880,7838,2,3,1994,309950
3,1.75,1880,6360,1,4,1945,600000
3,2,1410,6030,1.5,4,1930,418000
4,2,1480,3844,1.5,5,1928,449250
2,1,1140,5250,1.5,4,1949,329950
3,1.75,1920,9306,1,3,1984,245000
4,2.5,2910,6338,2,3,2008,549000
3,2.5,3240,7857,2,3,1994,800000
3,2,1550,15040,1,4,1958,249950
5,2,2050,10200,1,3,1956,210000
2,2.5,2220,4000,2,3,2000,1425000
2,1,1770,8640,1.5,3,1949,585000
4,1.75,2300,11700,1,4,1977,615000
3,2,1800,5000,1,4,1942,618500
4,1.75,2010,9211,1,3,1977,487585
3,2.5,1790,2700,2,3,2010,509900
4,2.5,2440,6651,2,3,2014,631625
3,2.5,1940,3211,2,3,2009,555000
2,1.5,1160,1438,2,3,2001,340000
4,2.5,3400,9692,2,3,2007,830000
4,4.25,4420,5750,2,3,2006,890000
3,3,1571,2017,3,3,2008,366750
3,2.25,1620,998,2.5,3,2010,415000
3,2.5,1408,989,3,3,2005,416286
3,2.5,3040,4535,2,3,2007,478000
5,3.5,4490,6000,2,3,2006,890000
2,2.5,1590,1426,2,3,2014,419190
4,2.5,2450,4247,2,3,2013,712198
4,2,1440,7680,1,3,1971,397000
2,2,1100,3000,1.5,3,1912,450000
3,1,1350,7740,1,4,1947,353000
4,2.5,2150,37981,2,3,1985,609000
3,1.75,1490,8366,1,4,1975,234000
3,2,2000,7000,2,3,1916,561000
2,1,1030,4400,1,3,1924,469000
2,1,720,6687,1,3,1942,329350
5,2,2020,5000,1.5,4,1938,488000
3,1.75,1580,8151,1,4,1962,279900
4,2.5,2110,13850,2,3,1987,606000
4,2,1300,7054,1,3,1950,312000
3,1.5,1630,7475,1,3,1940,650000
4,2.75,3370,8103,1,3,1970,1135000
4,2.5,1890,6156,1,3,1980,325000
4,2,1520,7983,1,5,1967,425000
2,1,900,5160,1,3,1952,219000
3,1,1050,6874,1,3,1954,250000
3,1.75,1260,6500,1,4,1966,390000
6,3,3470,117612,1.5,3,1924,475000
4,2.5,2290,12047,2,4,1988,736000
4,2.25,2810,23400,1,3,1958,407000
3,2.5,1650,13816,2,3,1998,272000
3,2.25,1640,14374,1,4,1963,362000
3,2.5,1850,10109,2,3,1991,535000
4,2.5,2000,5390,2,3,2003,284000
3,1.5,1410,9647,1,3,1961,367500
4,1.75,1500,11600,1,4,1955,379900
3,2.5,2460,54885,2,4,1980,520000
3,1,1010,7034,1,3,1954,175000
2,2.25,1230,929,2,3,2004,460000
4,2.5,2331,3826,2,3,2007,345000
5,2.5,2240,7770,1,3,1978,455000
4,3,2450,10117,1,5,1967,610000
4,3,3100,15480,2,3,1996,563000
4,2,2060,5000,1,3,1949,612500
3,1.75,1850,7684,1,3,1979,218000
4,1.75,1840,10720,1,3,1958,404000
4,2,3740,32417,2,3,2000,860000
3,1.5,1420,8580,1,3,1962,136500
3,1,1510,6083,1,4,1940,313950
3,1.75,2130,6500,1,3,1954,575000
4,2.25,3490,6906,2,4,1928,1225000
3,1.75,1630,11800,1,4,1971,280000
3,2.5,1790,7167,2,3,1989,515000
4,2.5,2000,5684,2,3,1996,513000
4,2.25,2260,29930,2,4,1977,599000
4,2.5,3030,7864,2,3,1999,685000
3,1.5,1310,8160,1,3,1950,365000
4,2.5,3880,14550,2,3,1987,762300
4,3.25,3760,10920,1.5,5,1950,1580000
5,2.25,3040,8111,2,3,1984,562000
5,2.5,2910,9636,1,4,1964,530000
3,2.5,2970,11985,1,3,1995,525000
2,1.75,1660,6000,1,3,1942,484000
4,2.5,3200,12369,2,3,1998,725126
4,2,2680,18768,1,5,1965,360000
3,1,1230,9568,1,5,1962,387000
4,2.5,2740,45732,2,3,1995,483500
4,3.5,3380,8330,2,3,2000,655500
3,1,1110,6250,1,3,1956,345000
5,2.75,1800,3780,1.5,3,1926,533000
3,1.75,1900,5520,1,3,1982,385000
2,1,930,36478,1,3,1951,675000
3,1.75,1690,7735,1,4,1976,197000
3,2,1420,4080,1.5,3,1905,485000
5,4,4510,15175,2,3,1969,1870000
3,2.25,1980,8000,1,4,1974,295000
2,1.75,1170,2400,1,4,1903,499000
3,2.5,2200,1970,2,3,2008,1050000
3,1.5,800,8850,1,4,1959,191000
3,2.5,1480,1171,3,3,2006,500000
5,3.75,2890,5000,1,3,2006,390000
3,2.5,2690,4047,3,3,2014,979000
4,3.25,3569,8327,2,3,2013,580000
3,2,1270,1320,3,3,2006,369950
5,5,4490,10279,2,3,2013,1800000
4,2.5,3040,6425,2,3,2008,776000
3,2.25,1170,1249,3,3,2014,519950
5,2.25,2060,8632,1,3,1962,255000
3,1,990,6000,1,3,1943,495000
4,2.5,2430,5203,2,3,2003,510000
4,4,4460,103382,2,3,2001,1150000
3,1.75,1250,10122,1,3,1994,253000
3,2.75,1540,6760,1,5,1980,503000
3,2.5,1600,7000,2,4,1993,275000
3,1,1110,8423,1,3,1952,249000
3,1.75,1840,10723,1,4,1974,310000
3,2.75,2520,5401,1,4,1946,750000
3,2.5,2680,327135,2,3,1995,630000
9,4.5,3830,6988,2.5,3,1938,599999
4,2.75,2410,9549,1,4,1956,758000
4,1.75,1720,10018,1,5,1960,248500
3,1.75,2070,37904,1,4,1973,310000
3,2,1760,9055,2,4,1985,460000
3,1.75,1680,10500,1,4,1959,675000
2,2,1550,2400,1.5,4,1900,526000
3,3,4120,60392,2,3,1994,560000
4,3,1830,9548,2,3,1991,415000
3,1,1400,7410,1,3,1944,246000
3,1.75,1870,12381,1,4,1957,314500
7,4.5,6210,8856,2.5,5,1910,3200000
2,1.5,1040,3500,1.5,4,1904,420000
3,1.75,2720,149410,1.5,3,1988,535000
3,1,1010,9360,1,3,1981,350000
3,1.75,1580,9147,1,4,1967,515000
4,2.75,2600,6050,2,5,1949,749950
3,2.5,1920,9180,2,3,1988,230000
3,2,2350,5080,1.5,3,1929,568000
1,1,1100,4373,1,2,1947,250000
4,2,2510,13695,1,4,1961,581000
3,2.5,3240,108366,2,4,1991,651000
3,2.5,2460,108900,1,4,1977,600000
2,1,1010,3885,1.5,4,1906,500000
2,1,820,2723,1,3,1921,475000
5,2.5,2420,8560,1,3,1978,352000
3,2.25,1770,8165,2,3,1977,420000
2,2,1350,3900,1,3,2003,428000
3,1.75,1960,4788,1,4,1920,599000
4,2.5,3305,16164,1.5,5,1922,492000
2,2.25,2550,5663,1,3,2011,630000
5,3.75,4130,226076,2,3,1985,900000
4,1.5,2310,13300,1,3,1950,1110000
4,2,1650,5000,1,3,1955,575000
4,2.5,2650,4316,1.5,3,1905,705000
4,2.25,1890,5940,1,3,1963,940000
3,1.75,2190,8000,1,4,1967,313000
3,2.5,2030,6500,2,3,1988,618080
3,3,2270,5175,2,3,2002,640000
3,2,1610,4160,1,4,1917,485000
2,1,760,3001,1,3,1913,300000
2,1,1640,17335,1,3,1978,379500
3,2.25,1630,12295,2,4,1985,339950
6,2.5,3560,6480,2.5,4,1914,1500000
3,3,2960,5500,2,3,1937,1340000
3,2.5,1940,37565,1,4,1987,500000
3,2,1410,7566,1,3,1985,239900
3,1,1040,16986,1,4,1968,314950
2,1,820,6400,1,4,1944,361280
2,1,910,22000,1,3,1956,100000
7,5.75,3700,7647,2,3,1948,540000
4,2.5,2180,11200,1,4,1968,480500
3,2.5,1600,4271,2,3,2000,280000
3,1.75,1500,6180,1,4,1947,440000
3,1,1340,4284,1,3,1910,530000
3,2,1860,13374,1,3,1985,560000
3,2,2540,7200,1.5,4,1905,775000
2,1,1040,13100,1,5,1912,160000
3,1.5,1380,11130,1,3,1960,209950
3,1.75,1640,10762,1,3,1988,226500
5,1.75,3000,6000,1,5,1958,380000
4,2.75,2140,13000,1,3,1968,409500
3,2,1760,6428,1,4,1942,690000
3,2.25,1660,8307,1,4,1961,405000
3,2.5,1830,13042,2,3,1990,375000
4,2,2210,8556,1,4,1954,794154
4,1,1490,6600,1,3,1969,185000
3,1.5,1260,1270,2,3,2005,245000
5,4.5,4270,8076,2,3,2007,1532500
4,3.5,3900,8391,2,3,2006,1040000
2,2.5,1150,1027,3,3,2008,425000
4,2.75,2656,21195,2,3,2014,495000
5,2.75,2410,5003,1,3,2008,365000
3,2.25,1606,1452,3,3,2009,417250
2,1,820,681,3,3,2006,339950
2,1,1540,6872,1,4,1946,615000
3,2.75,2090,8354,2,3,2012,403000
5,2.5,3160,11470,1,4,1971,980000
4,1.75,1730,8320,1,3,1977,258000
3,1,1670,4080,1,3,1967,533000
4,2.5,2550,4630,2,3,2005,537500
5,3,3040,9601,1,5,1968,830000
3,1,1250,4620,1.5,4,1900,712000
4,2.5,2020,6236,2,3,2002,262000
4,2.5,2660,5500,2,3,2003,753888
2,1.5,980,5000,2,3,1922,134000
3,2.5,1960,8000,1,4,1977,402000
2,1,720,5040,1,3,1955,205000
2,2.5,1360,1349,2,3,1997,553650
2,2,1870,4950,1,3,2006,559950
4,1.5,2130,8800,1,3,1962,260000
4,2.5,1810,6509,2,3,1994,270000
2,1.75,2200,89298,1,3,1973,295000
3,2.5,1690,4500,1.5,4,1928,719000
3,2.5,1940,8547,1,3,1989,266000
4,2.5,2320,6270,2,3,2004,325900
4,1.75,2060,26036,1,4,1947,647500
4,1,3410,5000,2,5,1910,1039000
4,2.25,2250,41688,2,3,1980,569000
3,1.75,1390,7399,1,4,1975,246000
2,1,1060,4960,1,3,1926,515000
3,1,1490,8995,1,4,1954,207000
4,1.75,2480,9195,1,3,1950,780000
5,2.25,2440,20828,1.5,4,1975,489990
3,1.5,2240,87625,1.5,2,1980,335000
3,2.5,1920,7229,2,3,1993,295000
3,1.75,1890,9920,1,3,1944,385000
4,1.75,2250,13515,1,4,1940,350000
2,1,1270,3008,1,4,1923,235000
2,1.5,960,1808,2,3,1993,358000
4,2.5,3290,6465,2,3,2002,716500
4,1.75,2000,6120,1,3,1965,228000
2,1,1020,8155,1,4,1948,405000
4,1.75,1840,9600,1,3,1967,538000
3,1.75,1980,6760,1,4,1973,530000
6,3,3510,5760,2.5,4,1906,1750000
2,1.75,1230,3600,1.5,5,1925,636000
4,2.5,2280,65836,2,3,2004,535000
3,1.75,2430,12757,1,4,1952,1500000
3,2.5,2920,3942,3,3,2008,868500
4,2.75,2280,2850,1.5,4,1930,530000
3,2,1510,43560,1,3,1954,450000
3,1.75,950,6000,1,3,1939,230000
3,2.5,1190,3000,2,3,2002,229000
3,1.75,1310,9282,1,4,1976,437000
5,3.25,2800,3200,1.5,5,1932,1307000
3,2.5,1750,3354,2,4,1991,595000
3,1.75,1320,5750,1.5,5,1918,660000
4,2.5,2460,7350,2,3,1989,347500
3,2,1240,10800,1,3,1967,297950
3,1.5,1260,7964,1,4,1955,245000
6,2.25,2820,15600,1.5,5,1940,543200
4,3.25,3820,24166,2,4,1990,1250000
3,2.5,1540,1614,3,3,2008,413450
2,2,1550,435600,1.5,2,1972,330000
3,1.75,1460,7700,1,3,1979,424500
3,1,1390,16000,1,4,1960,230000
3,3.25,2640,4080,2,3,1912,930000
3,1.75,1590,9620,1,3,1988,349000
4,2,1910,6960,1.5,5,1941,835000
3,2.75,2015,16807,2,3,2007,988500
3,1.75,1410,1197,3,3,2012,500000
2,1.5,1110,957,2,3,2005,499000
2,1.25,860,1277,2,3,2007,321950
3,2.5,2310,4729,2,3,2011,494000
2,1.5,1020,1060,3,3,2008,441750
2,1,980,1179,2,3,2010,438000
4,2.25,4230,37769,2,3,1989,985000
3,2.25,1640,11050,1,4,1972,352000
4,3.5,3810,13592,1,3,2013,839900
4,2.75,2790,10819,2,3,1996,765000
4,1.75,1750,5500,1.5,5,1926,460000
4,1,1430,8355,1.5,4,1983,224500
3,2.5,1850,4597,2,3,2003,254000
2,1,960,28717,1,4,1984,255000
3,3,2480,45302,1,4,1976,610000
4,3,3750,11025,2,3,1976,920000
4,2.5,2600,11951,2,3,1988,402500
3,1.75,1390,8700,1,4,1912,280950
4,2.5,2260,7753,2,3,1989,604000
4,2.25,2470,7447,2,3,1984,565000
2,1,810,7980,1,1,1928,255000
4,2,1650,6000,1,5,1959,445000
3,2.25,3000,11665,1.5,3,2001,2400000
2,1,720,18000,1,3,1950,195000
3,1.5,1390,48257,1,3,1922,275000
3,2.25,1445,1606,2,3,2003,387000
2,1,1840,3300,1.5,4,1910,490000
3,2.5,2100,5824,2,3,1999,505000
3,1.5,1060,10464,1,4,1973,303500
3,1.5,1500,6337,1,5,1953,270000
4,2.75,1970,7213,1,3,1977,323000
3,3.25,1410,1253,3,3,2005,382000
4,2.75,3720,9450,1,5,1962,1370000
4,2,2190,14439,1,4,1977,280000
3,2,1920,8075,1,4,1969,260000
3,1,1160,8320,1,4,1959,201500
4,4.25,5860,52889,2,4,1996,1157200
4,1.75,2000,4000,1.5,5,1926,536500
4,3,2163,5883,2,3,2006,248000
5,3,3480,57499,1,4,1976,532000
4,2.5,2840,6268,2,3,1998,580000
2,1,1150,4400,1,4,1905,463000
4,2.75,3100,3773,2,3,1919,742500
3,2.5,1420,14850,1,4,1963,260000
4,2.25,2430,32496,1,3,1993,590000
4,2.25,1930,7452,1,3,1984,312000
3,2.25,1660,10140,1,4,1980,566000
3,2,1400,7293,1,4,1963,511555
4,2.5,2660,4000,2,3,2001,583000
4,2.5,2000,13300,1,4,1968,290000
4,2.25,2130,8078,1,4,1977,311100
3,2.25,1352,1694,3,3,2007,325000
3,1.75,1750,11340,1,4,1987,491300
5,1.75,2320,8100,1,4,1956,315000
2,1,1420,81892,1,3,1956,360000
4,2.5,1940,3784,2,3,2003,330000
3,2,1410,4800,1,3,1940,481450
3,1,1360,9948,1,3,1977,234950
3,1.75,1220,7250,1,3,1962,251000
4,2.5,2830,20345,2,3,1979,782000
4,2.75,3780,10308,2,3,1999,833000
4,2.5,2330,14289,2,4,1978,542500
3,2.5,3560,107290,2,3,1987,851000
4,1.5,1470,70800,1,3,1976,325000
4,2.25,3060,48787,2,3,1992,415000
3,1,1030,6127,1,3,1947,252500
4,2.5,1930,9653,1,4,1968,465000
3,1.75,1780,120661,1,4,1979,336900
3,2.5,2000,9202,2,4,1992,225000
3,2,1690,9583,1,4,1969,270000
5,4.5,5190,23716,2,3,1987,1702500
3,1.75,1300,5413,1.5,3,1925,536000
4,3.25,2400,29252,2,4,1982,585000
2,2,1150,6634,1,3,1940,445000
4,2.25,2310,7490,2,3,1980,320000
4,3.5,2730,3047,2,3,2006,769900
4,2.5,2840,4500,2,3,2012,557000
2,1.5,1020,1525,2,3,2004,212000
3,2,1340,1384,3,3,2008,376000
4,3.25,3540,159430,2,3,2007,800000
5,6.5,7270,130017,2,3,2010,2238888
3,2.25,998,904,2,3,2007,324000
5,2.75,3060,7015,1,5,1979,549900
3,2.5,2130,6969,2,3,2003,320000
4,2,2520,6000,1,3,1921,875000
4,1,1940,9533,1,3,1962,265000
3,2.5,1350,1250,3,3,2006,394950
4,2.5,2160,5298,2.5,4,1902,842500
3,2.5,1370,1350,2,3,2007,368000
4,4.5,5420,101930,1,3,2001,1225000
4,2.5,2830,5000,2,3,1995,885000
3,2.5,2010,2287,2,3,2014,453246
4,2.75,3300,12090,2,3,1953,927000
2,2.5,1230,1391,2,3,2004,490000
3,1.5,1720,7119,1.5,4,1952,341000
1,1,810,2451,1,5,1941,235000
3,1.75,1560,8078,1.5,4,1928,1200000
3,2,2560,216777,1,3,1986,560000
4,3.25,4700,38412,2,3,1978,900000
2,1,1220,2500,1,3,1910,255000
5,2.75,3650,20150,1,4,1975,1575000
3,3.25,2170,12508,1.5,5,1928,876650
4,2.25,2540,228254,1,3,1990,540000
2,1,910,4500,1.5,4,1906,350000
4,2.5,2980,4930,2,3,2000,750000
4,1.75,2120,4650,1,3,1951,582000
4,3.5,3460,3997,2,3,2004,1315000
5,3,2480,10090,1,3,2004,372500
3,2.25,2200,16921,2,3,1987,410000
4,2,1730,5500,1,5,1943,360000
3,2.5,2920,34527,1,4,1954,1015000
3,1,990,8012,1,4,1966,225000
4,2.5,3040,6887,2,3,1999,647000
5,3,4530,258746,1.5,4,2003,950000
3,1.5,1370,8470,1,4,1961,185000
3,2.5,1940,4927,2,3,2004,335000
3,2.5,1040,2643,2,3,2004,210000
4,2.25,1800,8623,1,4,1980,522000
3,1.75,1720,5000,1,3,1954,770000
3,1,980,6380,1,3,1941,499950
4,2.5,3110,6142,2,3,2004,751000
5,3,2100,7715,1,3,2013,330000
3,1.5,2020,11358,1,4,1956,465000
4,1.75,2350,11914,1,4,1961,850000
4,2.25,3290,12329,1.5,4,1968,947500
5,2.25,2180,7813,2,3,1986,302000
2,2.25,1290,1334,3,3,2007,500000
3,1,1460,9750,1,4,1969,201000
2,1,1290,2828,2,3,2008,265000
4,2.5,2350,3150,1.5,4,1910,870300
3,1,1080,8100,1,4,1955,339000
4,2.5,2670,13463,2,4,1989,690000
4,3.25,3680,5759,2,3,2003,788000
3,1.75,1440,8040,1,3,1951,315275
4,1.75,1940,4800,1,5,1922,505000
3,1,1280,9898,1,3,1968,368000
3,2.75,2980,27144,1.5,5,1917,947500
3,1,970,8580,1,3,1959,156000
4,3,2110,5000,1.5,4,1930,610000
2,2.5,1480,1369,3,3,2009,420000
2,1,700,10540,1,3,1953,192000
3,2,2700,6120,1,4,1962,910000
4,3.25,2330,9687,2,3,1918,1300000
5,1.75,3380,20021,1,4,1963,1346400
4,2.75,2600,2750,1.5,3,1936,840000
2,1.75,1360,8100,1,3,1975,300000
4,2.5,2780,6369,1,3,1978,505000
3,1,1250,53143,1,5,1945,110000
3,2.5,2620,8950,2,3,1992,746000
3,1.5,1350,7620,1,5,1941,211000
4,3,2400,3340,1,4,1964,675000
4,2.5,2760,5000,1.5,5,1928,734200
4,2.25,3070,16028,1,3,1976,1225000
2,1.75,2040,28593,1.5,4,1919,615000
4,2,1770,6000,2,5,1911,630000
4,3.75,3490,9170,2,3,2012,1264000
2,1.5,830,1333,2,3,2005,301500
2,2.5,980,895,2,3,2009,369000
3,2.5,1570,1433,3,3,2010,635000
4,3.25,3270,5187,2,3,2014,1033888
4,2.5,2160,6223,2,3,2010,383000
4,3.75,3280,11000,2,3,2008,1050000
4,2.5,3360,7685,2,3,2001,455000
5,2.75,3150,7119,2,3,2013,819900
3,3.5,1810,1846,2,4,2009,625000
4,2.5,2740,7140,2,3,1993,651000
5,4.75,3830,35000,1,3,1976,480000
3,3.25,3190,5283,2,3,2007,757000
3,2.25,2350,10450,1,3,1977,460000
4,2.25,2510,8165,1,4,1972,267345
2,2,1680,4950,1,3,2006,530000
3,2,1770,6610,1,4,1954,449500
3,1,1090,7315,1,5,1981,289000
5,2.5,3001,5710,2,3,2006,373000
5,3,2450,4591,2,3,1994,525000
3,3.25,3610,59677,2,3,2003,777000
4,2,2250,7500,1,5,1956,550000
3,1.5,1240,7735,1,4,1957,523000
4,2,2260,6000,1,3,1958,628000
4,1.75,2090,8164,1,4,1963,581000
5,1.75,2020,7902,1,3,1962,245000
3,1.75,1960,5000,1,5,1911,415000
5,2.25,3120,16672,2,4,1969,1895000
3,1.5,1250,7500,1,3,1967,225000
3,2.25,1490,9600,1,4,1987,287000
6,3,2890,2370,2.5,3,1906,799200
3,1,1900,33888,1.5,4,1942,239950
3,1.75,1680,2400,1,5,1922,591000
3,2.5,2030,8398,2,4,1975,700000
4,2.5,3740,8700,1,3,2004,475000
3,1.75,1580,11750,1,4,1951,575000
3,2.25,1780,6120,1.5,4,1927,771000
2,1,910,6232,1,3,1943,155000
7,4,3440,8100,2,3,1970,550000
3,2.5,1740,13750,2,4,1975,645000
5,2.5,3400,8970,1,4,1959,464000
4,3.25,4400,16625,2,3,2003,1050000
3,2.5,2010,14298,2,3,1977,350000
4,2.25,2710,38180,2,4,1977,591000
4,2.5,5300,26211,2,2,1923,2555000
3,1.5,1310,3880,1,3,1956,717000
4,1.5,1950,12559,1.5,3,1939,225000
3,1,1040,6535,1,3,1947,225000
3,1.75,1090,7200,1,3,1968,345000
2,0.75,650,5360,1,4,1931,230000
3,2,1480,6600,1,3,1943,385000
2,1,790,2640,1,3,1973,90000
4,2.5,3560,11119,1,3,1986,860000
4,2.5,3000,5548,2,3,2006,675000
4,2.5,3490,7494,2,3,2000,975000
3,1.75,2340,10495,1,4,1967,780000
3,1.75,1650,8254,1,5,1951,370000
3,2,1940,5820,1.5,5,1944,665000
5,3,3410,9600,1,4,1968,675000
3,1,1710,4050,1.5,3,1909,620000
4,1.5,2740,4000,2,5,1905,1105000
3,2.75,1250,892,2,3,2010,450000
3,2.25,2450,42180,1,4,1978,450000
3,1.75,1690,8190,1,4,1958,530000
4,1.75,1950,13320,1,4,1969,635000
5,2,2290,7125,1,3,1964,580000
5,3.25,3370,17458,1,5,1982,1550000
3,1,1090,8640,1,4,1973,285000
3,1,1190,9486,1,4,1953,375000
5,4.25,3530,7924,2,3,2001,1400000
3,1,1440,5000,2,3,1910,560000
4,1.75,2180,13529,1,3,1956,405000
4,1,1410,6000,1,3,1925,413000
3,2.5,1950,8251,2,3,1990,287600
5,3.25,4860,23723,2,4,1989,1680000
3,1,1660,7210,1,3,1963,225000
3,1,1390,12823,1,4,1968,319000
3,2,1350,14200,1,3,1989,322500
3,2,1530,5401,1,4,1937,570000
3,1.5,1270,5112,1,3,1950,465000
4,2.25,2140,6355,2,3,2002,435000
4,2.5,2040,5616,2,3,2012,502000
3,3.5,2876,5086,2,3,2007,525000
3,2.5,1580,1161,2,3,2008,525000
4,3.5,3400,5196,2,3,2012,660000
4,2.5,3520,6773,2.5,3,2006,870000
4,2.5,2210,4861,2,3,2013,650000
4,2.5,2790,5602,2,3,2009,505000
3,2.5,1450,5008,1,3,2007,330000
4,1.75,1620,4980,1,4,1947,385000
3,1.5,1220,1086,3,3,2007,306000
3,1.75,2000,5000,1,4,1921,546000
4,2.5,2190,7350,2.5,5,1958,925000
4,1.75,1900,8250,1,4,1955,542000
3,1,1700,4400,1.5,4,1906,800000
5,2.5,2540,3832,2,5,1929,620000
2,1,1170,8925,1,3,1911,175000
5,5,5774,31675,1,3,1984,740000
3,2.25,2120,15003,2,3,1984,345000
3,1.75,2170,26460,1,3,1986,510000
4,2.75,2450,15002,1,5,1974,530000
2,1,700,5200,1,5,1952,155000
3,2.5,1780,7214,1,4,1986,266000
3,2,1850,8250,1,4,1952,257200
3,2,1570,5706,1,3,1998,265000
3,1,1290,5500,1,3,1951,372220
